Date,ReleasedProcessedConsumptionKWh,MinimumHomesPresent,MaximumHomesPresent,Minutes,ReleasedGridComplete,ReleasedGridCompleteConsumptionKWh,AmbientTemperatureC
2020-08-17,262.04898833333334,20,20,1440,True,262.04898833333334,16.749465277777777
2020-08-18,273.32606740196076,20,20,1440,True,273.32606740196076,17.00347222222222
2020-08-19,246.2592592647059,20,20,1440,True,246.2592592647059,16.412736111111112
2020-08-20,257.062035,20,20,1440,True,257.062035,15.901020833333334
2020-08-21,240.44147,20,20,1440,True,240.44147,15.756472222222222
2020-08-22,254.66314500000001,20,20,1440,True,254.66314500000001,15.045
2020-08-23,265.525575,20,20,1440,True,265.525575,14.939965277777777
2020-08-24,237.352575,20,20,1440,True,237.352575,15.51457638888889
2020-08-25,240.48894,20,20,1440,True,240.48894,15.699583333333335
2020-08-26,266.88656999999995,20,20,1440,True,266.88656999999995,15.442486111111112
2020-08-27,249.58489999999998,20,20,1440,True,249.58489999999998,15.33020138888889
2020-08-28,249.5861,20,20,1440,True,249.5861,14.709097222222221
2020-08-29,253.94048999999998,20,20,1440,True,253.94048999999998,13.70897222222222
2020-08-30,242.08640000000003,20,20,1440,True,242.08640000000003,13.003666666666666
2020-08-31,258.938115,20,20,1440,True,258.938115,14.370555555555555
2020-09-01,310.263735,20,20,1440,True,310.263735,15.230187500000001
2020-09-02,303.59397,20,20,1440,True,303.59397,16.129416666666668
2020-09-03,324.22515500000003,20,20,1440,True,324.22515500000003,15.014833333333334
2020-09-04,262.6949,20,20,1440,True,262.6949,14.294541666666666
2020-09-05,261.63521999999995,20,20,1440,True,261.63521999999995,14.432138888888888
2020-09-06,226.599195,20,20,1440,True,226.599195,14.92807638888889
2020-09-07,215.69153999999997,20,20,1440,True,215.69153999999997,15.4385625
2020-09-08,258.799375,20,20,1440,True,258.799375,16.11832638888889
2020-09-09,236.70477000000002,20,20,1440,True,236.70477000000002,14.238993055555557
2020-09-10,240.46740500000004,20,20,1440,True,240.46740500000004,13.506902777777777
2020-09-11,290.11146499999995,20,20,1440,True,290.11146499999995,14.3735625
2020-09-12,340.37011,20,20,1440,True,340.37011,15.099673611111111
2020-09-13,253.449535,20,20,1440,True,253.449535,16.066395833333335
2020-09-14,259.519665,20,20,1440,True,259.519665,18.153125
2020-09-15,276.252705,20,20,1440,True,276.252705,18.095805555555554
2020-09-16,250.75090500000002,20,20,1440,True,250.75090500000002,17.338631944444444
2020-09-17,236.96773,20,20,1440,True,236.96773,17.67626388888889
2020-09-18,235.07222499999997,20,20,1440,True,235.07222499999997,17.403194444444445
2020-09-19,229.89630499999998,20,20,1440,True,229.89630499999998,14.484770833333332
2020-09-20,263.598235,20,20,1440,True,263.598235,12.88093611111111
2020-09-21,244.744745,20,20,1440,True,244.744745,12.743986111111111
2020-09-22,248.38367499999998,20,20,1440,True,248.38367499999998,13.883708333333335
2020-09-23,223.986495,20,20,1440,True,223.986495,11.406847222222222
